GeneChip,ProbeSet,ProbeX,ProbeY,PM/MM,PixelX,PixelY,Intensity
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3260,4137,1164
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,432,555,PM,3260,4138,1281
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2837,261,308
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2837,262,448
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2837,263,528
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2837,264,570
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2837,265,591
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2838,261,351
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2838,262,584
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2838,263,715
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2838,264,851
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2838,265,780
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2839,261,353
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2839,262,630
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2839,263,795
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2839,264,885
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2839,265,871
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2840,261,332
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2840,262,658
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2840,263,830
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2840,264,968
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2840,265,906
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2841,261,211
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2841,262,484
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,370,5,PM,2841,263,648
